Taxon,ST.0,ST.1,ST.2,ST.3
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales,0.0031,0.0061,0.005,0.0035
Archaea;Euryarchaeota;Thermoplasmata;E2,0.0001,0.0003,0.0001,0.0008
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales,0.0059,0.0042,0.0081,0.0019
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales,0.0000,0,0,0.0001
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales,0.0098,0.0076,0.0191,0.0043
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales,0.1372,0.1472,0.1688,0.2837
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales,0.0001,0.0001,0.0018,0.0009
Bacteria;Bacteroidetes;Saprospirae;Saprospirales,0.0000,0,0,0
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales,0.0000,0,0,0
Bacteria;Deferribacteres;Deferribacteres;Deferribacterales,0.0002,0.0001,0.0001,0.0006
Bacteria;Elusimicrobia;Elusimicrobia;Elusimicrobiales,0.0011,0.0022,0.0026,0.0035
Bacteria;Elusimicrobia;Endomicrobia;Endomicrobiales,0.1141,0.0833,0.0506,0.0805
Bacteria;Fibrobacteres;TG3;Other,0.0000,0,0,0
Bacteria;Firmicutes;Bacilli;Other,0.0004,0.0001,0.0014,0.0002
Bacteria;Firmicutes;Bacilli;Lactobacillales,0.0056,0.031,0.0089,0.0037
Bacteria;Firmicutes;Bacilli;Turicibacterales,0.0000,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales,0.1300,0.1751,0.1866,0.1683
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales,0.0004,0.0001,0.0002,0.0001
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales,0.0012,0.0027,0.0022,0.0007
Bacteria;Planctomycetes;Other;Other,0.0003,0.0007,0.0004,0.0002
Bacteria;Planctomycetes;HA49;PeHg47,0.0000,0,0,0
Bacteria;Planctomycetes;Planctomycetia;Pirellulales,0.0015,0.0024,0.0026,0.0007
Bacteria;Proteobacteria;Alphaproteobacteria;Other,0.0003,0.0005,0.0002,0.0006
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales,0.0000,0,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;RF32,0.0009,0,0.0005,0.0009
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales,0.0001,0.0009,0.0014,0.0006
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales,0.0009,0.0015,0.0011,0.0233
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales,0.0108,0.0068,0.0102,0.0105
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales,0.0000,0.0009,0.0009,0.0001
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales,0.0009,0.0007,0.0014,0.0029
Bacteria;Proteobacteria;Betaproteobacteria;Methylophilales,0.0000,0,0,0.0059
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales,0.0001,0.0005,0.0008,0.0004
Bacteria;Proteobacteria;Betaproteobacteria;Procabacteriales,0.0000,0,0,0
Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales,0.0107,0.0117,0.0216,0.0133
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfarculales,0.0007,0.0008,0.0017,0.0004
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales,0.0154,0.013,0.0169,0.0299
Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales,0.0001,0,0,0.0015
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales,0.0001,0.0005,0.0043,0.0025
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales,0.0005,0.0004,0.0042,0.0003
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales,0.0007,0.0005,0.007,0.0026
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales,0.0000,0,0.0056,0.0005
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales,0.0000,0,0.0001,0
Bacteria;Proteobacteria;TA18;CV90,0.0003,0.0007,0.0004,0.0002
Bacteria;SR1;Other;Other,0.0020,0.0021,0.0048,0.0005
Bacteria;Spirochaetes;Leptospirae;Leptospirales,0.0015,0.0025,0.0017,0.0019
Bacteria;Spirochaetes;Spirochaetes;Spirochaetales,0.4992,0.4498,0.4145,0.315
Bacteria;Synergistetes;Synergistia;Synergistales,0.0100,0.0115,0.0116,0.0064
Bacteria;Tenericutes;Mollicutes;Mycoplasmatales,0.0066,0.0024,0.0032,0.0047
Bacteria;Verrucomicrobia;Methylacidiphilae;Methylacidiphilales,0.0017,0.0011,0.003,0.0011
Bacteria;Verrucomicrobia;Opitutae;Other,0.0000,0,0,0.0001
Bacteria;Verrucomicrobia;Opitutae;HA64,0.0012,0.0018,0.0013,0.0023
Bacteria;Verrucomicrobia;Opitutae;Opitutales,0.0004,0.0001,0.0005,0.0002
Bacteria;Verrucomicrobia;Spartobacteria;Chthoniobacterales,0.0025,0.0022,0.004,0.0006
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales,0.0000,0,0,0
Bacteria;ZB3;Rs-J96;Other,0.0011,0.0004,0.0001,0.0007
Unassigned;Other;Other;Other,0.0203,0.0235,0.0185,0.0166
Birch,0.0000,0,0,0
Cardboard,0.0000,0,0,0
Maple,0.0000,0,0,0
Oak,0.0000,0,0,0
Original Mulch,0.0000,0,0,0
Spruce,0,0,0,
