Taxon,M.0,M.1,M.2
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales,0.0031,0.0117,0.0078
Archaea;Euryarchaeota;Thermoplasmata;E2,0.0001,0.0000,0.0001
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales,0.0059,0.0143,0.0125
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales,0.0000,0.0000,0.0000
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales,0.0098,0.0119,0.0151
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales,0.1372,0.1839,0.2072
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales,0.0001,0.0003,0.0005
Bacteria;Bacteroidetes;Saprospirae;Saprospirales,0.0000,0.0000,0.0000
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales,0.0000,0.0000,0.0000
Bacteria;Deferribacteres;Deferribacteres;Deferribacterales,0.0002,0.0002,0.0001
Bacteria;Elusimicrobia;Elusimicrobia;Elusimicrobiales,0.0011,0.0023,0.0021
Bacteria;Elusimicrobia;Endomicrobia;Endomicrobiales,0.1141,0.1015,0.1044
Bacteria;Fibrobacteres;TG3;Other,0.0000,0.0000,0.0000
Bacteria;Firmicutes;Bacilli;Other,0.0004,0.0007,0.0003
Bacteria;Firmicutes;Bacilli;Lactobacillales,0.0056,0.0353,0.0131
Bacteria;Firmicutes;Bacilli;Turicibacterales,0.0000,0.0000,0.0000
Bacteria;Firmicutes;Clostridia;Clostridiales,0.1300,0.1613,0.1525
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales,0.0004,0.0002,0.0005
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales,0.0012,0.0055,0.0050
Bacteria;Planctomycetes;Other;Other,0.0003,0.0005,0.0002
Bacteria;Planctomycetes;HA49;PeHg47,0.0000,0.0000,0.0000
Bacteria;Planctomycetes;Planctomycetia;Pirellulales,0.0015,0.0029,0.0033
Bacteria;Proteobacteria;Alphaproteobacteria;Other,0.0003,0.0003,0.0011
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales,0.0000,0.0000,0.0000
Bacteria;Proteobacteria;Alphaproteobacteria;RF32,0.0009,0.0006,0.0004
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales,0.0001,0.0015,0.0008
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales,0.0009,0.0007,0.0011
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales,0.0108,0.0081,0.0104
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales,0.0000,0.0013,0.0002
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales,0.0009,0.0011,0.0011
Bacteria;Proteobacteria;Betaproteobacteria;Methylophilales,0.0000,0.0000,0.0000
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales,0.0001,0.0000,0.0009
Bacteria;Proteobacteria;Betaproteobacteria;Procabacteriales,0.0000,0.0000,0.0000
Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales,0.0107,0.0120,0.0164
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfarculales,0.0007,0.0012,0.0005
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales,0.0154,0.0108,0.0173
Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales,0.0001,0.0000,0.0000
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales,0.0001,0.0008,0.0006
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales,0.0005,0.0008,0.0008
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales,0.0007,0.0013,0.0008
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales,0.0000,0.0002,0.0011
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales,0.0000,0.0000,0.0000
Bacteria;Proteobacteria;TA18;CV90,0.0003,0.0001,0.0001
Bacteria;SR1;Other;Other,0.0020,0.0035,0.0039
Bacteria;Spirochaetes;Leptospirae;Leptospirales,0.0015,0.0027,0.0019
Bacteria;Spirochaetes;Spirochaetes;Spirochaetales,0.4992,0.3687,0.3762
Bacteria;Synergistetes;Synergistia;Synergistales,0.0100,0.0157,0.0107
Bacteria;Tenericutes;Mollicutes;Mycoplasmatales,0.0066,0.0051,0.0041
Bacteria;Verrucomicrobia;Methylacidiphilae;Methylacidiphilales,0.0017,0.0011,0.0017
Bacteria;Verrucomicrobia;Opitutae;Other,0.0000,0.0000,0.0001
Bacteria;Verrucomicrobia;Opitutae;HA64,0.0012,0.0010,0.0018
Bacteria;Verrucomicrobia;Opitutae;Opitutales,0.0004,0.0008,0.0001
Bacteria;Verrucomicrobia;Spartobacteria;Chthoniobacterales,0.0025,0.0020,0.0010
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales,0.0000,0.0000,0.0000
Bacteria;ZB3;Rs-J96;Other,0.0011,0.0007,0.0011
Unassigned;Other;Other;Other,0.0203,0.0256,0.0193
Birch,0.0000,0.0000,0.0000
Cardboard,0.0000,0.0000,0.0000
Maple,0.1000,0.1000,0.1000
Oak,0.0000,0.0000,0.0000
Original Mulch,0.0000,0.0000,0.0000
Spruce,0.0000,0.0000,0.0000
